room_title,woe_room_url,review_id,review
"Escape room ""The Lost Antidote"" by The Escape Little Rock in Little Rock",https://worldofescapes.com/little-rock/quests/the-escape-little-rock-the-lost-antidote,0,None
"Escape room ""221B Baker Street"" by Beat the Room in Sacramento",https://worldofescapes.com/sacramento/quests/beat-the-room-221b-baker-street,0,"Took my boyfriend for our anniversary and this was our first time doing an escape room. We chose the Sherlock Holmes theme. We were greeted by the manager, who was super cool. Overall our whole experience was so much fun. Definitely will be back and bringing along some friends and family!"
"Escape room ""221B Baker Street"" by Beat the Room in Sacramento",https://worldofescapes.com/sacramento/quests/beat-the-room-221b-baker-street,1,Did the Sherlock room and it was amazing. Fun time trying to solve all the puzzles. Super tough room with fun twists throughout. This is my 3rd Escape the room and these puzzles were harder than the other 3. The staff was very friendly and patient with us. That's even with us coming at 10am in the morning.
"Escape room ""221B Baker Street"" by Beat the Room in Sacramento",https://worldofescapes.com/sacramento/quests/beat-the-room-221b-baker-street,2,"Although we didn't solve the mystery of who had Sherlock and where he was, the four of us had a great time. We will definitely be back. It was so much fun!"
"Escape room ""221B Baker Street"" by Beat the Room in Sacramento",https://worldofescapes.com/sacramento/quests/beat-the-room-221b-baker-street,3,Awesome bonding experience with my family. Had no idea what to expect but we worked well together and we beat it!
"Escape room ""221B Baker Street"" by Beat the Room in Sacramento",https://worldofescapes.com/sacramento/quests/beat-the-room-221b-baker-street,4,"My friends and I decided on a whim to do an escape room one night. When we called to book a room, the staff was very friendly & accommodating. The ambience & decor were great, and the puzzles were creative yet challenging. We did the 221B room and enjoyed the twist (solving a crime instead of actually escaping the room) I would highly recommend coming here!"
"Escape room ""Bad Medicine"" by Ace of Escape in Tucson",https://worldofescapes.com/tucson/quests/ace-of-escape-bad-medicine,0,This was my first experience with an escape room. We attempted the Bad Medicine room. We only got about 60% through before the clock ran out. We had lots of fun trying to figure out all of the clues. This room is very challenging!
"Escape room ""Bad Medicine"" by Ace of Escape in Tucson",https://worldofescapes.com/tucson/quests/ace-of-escape-bad-medicine,1,"Every time I come to Tucson, which is often, I do a room (or two!) at Ace of Escape, they are by far my favorite in Tucson. They have a wide variety of rooms, if you catch their Christmas room during the season, it's the best Christmas themed room out there. Very well thought out, not just another room with Christmas decorations. By far my favorite is Bad Medicine, super hard, but I love a challenge! They just opened a new two person room that I can't wait to check out - I've never done a room specifically made for two people. I have a feeling it's harder than it sounds. "
"Escape room ""Bad Medicine"" by Ace of Escape in Tucson",https://worldofescapes.com/tucson/quests/ace-of-escape-bad-medicine,2,We had a lot of fun figuring out all of the puzzles and were ecstatic to have escaped the Bad Medicine room!! We can't wait to come back and escape again
"Escape room ""Bad Medicine"" by Ace of Escape in Tucson",https://worldofescapes.com/tucson/quests/ace-of-escape-bad-medicine,3,"My friends and I decided to try the challenging ""Bad Medicine"" as our first time. We had so much fun and got so close that we booked ""The Illusionist"" right after going back to back. We managed to escape that room! We had a blast! Definitely will be back"
