room_title,woe_room_url,review_id,review
"Escape room ""Split"" by Panic Escape Room in Chicago",https://worldofescapes.com/chicago/quests/panic-escape-room-split,0,"Friendly people, awesome time! Found them on this site!  Thanks for the recommendations!"
"Escape room ""Split"" by Panic Escape Room in Chicago",https://worldofescapes.com/chicago/quests/panic-escape-room-split,1,Definitely a game for advanced players...but its awesome!  Very nice people when we arrived and on our way out!  
"Escape room ""Split"" by Panic Escape Room in Chicago",https://worldofescapes.com/chicago/quests/panic-escape-room-split,2,Fantastic Room! Seen that this room won best new room last year by escape room guru and had to try it out! Not disappointed at all they have 7 rooms we plan to do them all :)
"Escape room ""Split"" by Panic Escape Room in Chicago",https://worldofescapes.com/chicago/quests/panic-escape-room-split,3,Exciting cool room.  I love taking people to this location because the games are down right weird and creepy
"Escape room ""Split"" by Panic Escape Room in Chicago",https://worldofescapes.com/chicago/quests/panic-escape-room-split,4,"Fun game, def recommend for 6 people!"
"Escape room ""Split"" by Panic Escape Room in Chicago",https://worldofescapes.com/chicago/quests/panic-escape-room-split,5,"This place has the nicest staff in the NW suburbs!  I've played at a lot of escape rooms in Schaumburg, Chicago, and near North Side.  Love the twist!"
"Escape room ""Split"" by Panic Escape Room in Chicago",https://worldofescapes.com/chicago/quests/panic-escape-room-split,6,So much fun!!!  Great people! Will recommend to others!
"Escape room ""Split"" by Panic Escape Room in Chicago",https://worldofescapes.com/chicago/quests/panic-escape-room-split,7,We had so much fun!!!
"Escape room ""Split"" by Panic Escape Room in Chicago",https://worldofescapes.com/chicago/quests/panic-escape-room-split,8,Recommended to use this website from Panic Escape Room.  Great room to play and the staff is kind.  Fun work outing looking forward to another location that Panic is opening!  Split does not play like a normal escape room and thats what I loved about it!
"Escape room ""Split"" by Panic Escape Room in Chicago",https://worldofescapes.com/chicago/quests/panic-escape-room-split,9,"This was D O P E!!!! We barley escaped, what a thrilling game, cant wait to try the Narcos game!!!"
"Escape room ""Split"" by Panic Escape Room in Chicago",https://worldofescapes.com/chicago/quests/panic-escape-room-split,10,"I host a once a month escape room meetup!  We enjoyed this game very much! If you guys have any more recommendations, let me know!  Split was so much fun!  We had 8 people play this game and it was perfect!  Not too creepy/scary, the right balance."
"Escape room ""Split"" by Panic Escape Room in Chicago",https://worldofescapes.com/chicago/quests/panic-escape-room-split,11,Me and my friends did Split and it was fantastic! Fun for me and my friends!  LOVE this place
