room_title,woe_room_url,room_address,room_description,player_range,time_limit,difficulty_level,fear_level,age_requirement,success_rate,min_players,max_players,time_limit_str,minimum_age,difficulty_int,fear_int,query_address,room_latitude,room_longitude
"Escape room ""The Pirate's Curse"" by Escape Room Live in Washington, D.C.",https://worldofescapes.com/washington/quests/escape-room-live-the-pirates-curse,"3345 M Street NW, Washington, DC 20007","Ahoy, Matey! All aboard Ye Pirate Ship! All who sail this ship are forever cursed… unless you can find the lost gold of the Aztec Sun God. Can You Break the Pirate’s Curse before time runs out?",8-10,60,Very difficult,Not scary,5+,None,8,10,60 minutes,5,3,0,"3345 M St NW, Washington, DC 20007, USA",38.9052588,-77.0674868
"Escape room ""The Lost Antidote"" by The Escape Little Rock in Little Rock",https://worldofescapes.com/little-rock/quests/the-escape-little-rock-the-lost-antidote,"1214 S Main St Little Rock, AR 72202","Dr. Stapleton, an evil scientist, has poisoned the city water supply. You and your team have one hour to find the antidote to save the city.",2-7,60,Average,Not scary,13+,0.4,2,7,60 minutes,13,1,0,"1214 S Main St, Little Rock, AR 72202, USA",34.7367558,-92.272776
"Escape room ""Tiki Time!"" by 60out Escape Rooms in Los Angeles",https://worldofescapes.com/los-angeles/quests/60out-escape-rooms-tiki-time,"2284 S Figueroa St Los Angeles, CA 90007","Welcome to the islands! You’ve traveled to the home of your ancestors, a tropical paradise. Why would you ever want to escape? You wouldn’t! Tiki Time is the first game where your goal is to stay in as long as possible by solving challenges to add time to your visit. Can your team earn enough time for you to complete your tasks and pay tribute at the shrine of the island king?",4-8,75,Very difficult,Not scary,12+,None,4,8,75 minutes,12,3,0,"2284 S Figueroa St, Los Angeles, CA 90007, USA",34.0309831,-118.2740067
"Escape room ""Central Bank"" by Fox in a Box Orange County in Orange County",https://worldofescapes.com/orange-county/quests/fox-in-a-box-orange-county-central-bank,"123 W. Amerige Ave., Fullerton CA 92832","You are a group of well-informed thieves. It has come to your attention that the general manager of Central Bank has a stash of diamonds hidden in his office. Under the cloak of night, you sneaked into the bank and reached the office of the manager's assistant, from there you deactivated the alarm, but it will sound off in exactly one hour. If you get to the diamonds in time, you will be rich beyond your wildest dreams. Fail, and you will end your career behind bars. ",2-6,60,Difficult,Not scary,4+,0.23,2,6,60 minutes,4,2,0,"123 W Amerige Ave, Fullerton, CA 92832, USA",33.872032,-117.925247
"Escape room ""Rock n Roll"" by King's Escape Room Denver in Denver",https://worldofescapes.com/denver/quests/kings-escape-room-denver-rock-n-roll,"10200 East Girard Ave #B400 Denver, CO 80231","It’s 1972. You and your band mates wake up in a hotel room. The room is messy, and you have no idea what happened last night. The lead singer is missing, you’re locked in the hotel room, and you have get to a concert in an hour. What now?",2-8,60,Average,Not scary,,None,2,8,60 minutes,nan,1,0,"10200 E Girard Ave B400, Denver, CO 80231, USA",39.6556373,-104.8676248
"Escape room ""Night Train 1892 - Jewel Heist"" by Grande Royal Escape in Jacksonville",https://worldofescapes.com/jacksonville/quests/grande-royal-escape-jewel-heist,"113 King Street St. Augustine, FL 32084","You sit comfortably in your first class cabin as you make your way from the frozen streets of NYC to the warm tropics of sunny Saint Augustine, Florida. It is a normal trip for people of your social status but unlike the other well to do tourists riding with you, you are taking this trip for a reason other than sunshine.
You have a job to do, one last job before you can retire as a master jewel thief. The biggest prize you have ever sought, the Peacock Diamonds that are only a couple of walls away. If you can steal those jewels and disappear into the night not only will you be rich, you will be legendary. As your father always said, ""Fame outshines riches.""",2-12,60,Average,Not scary,12+,None,2,12,60 minutes,12,1,0,"113 King St, St. Augustine, FL 32084, USA",29.8913372,-81.317571
"Escape room ""The Executioner"" by Huntsville Escape Rooms in Huntsville",https://worldofescapes.com/huntsville/quests/huntsville-escape-rooms-the-executioner,"604 Madison St SE Huntsville, AL 35801","Long ago, in medieval times, fear has permeated a small, dreary town. The Executioner has been given preeminent authority and has become the judge and jury over the innocent citizens. With a thirst for dominance and a taste for torture, none of his prisoners are ever released or seen again. You’ve been unfairly imprisoned and it's up to you to find the way out. Other victims have tried and come close to escaping. Find their clues. Be quick. Be cunning. Survive The Executioner.

",2-7,60,Average,Not scary,8+,None,2,7,60 minutes,8,1,0,"604 Madison St SE, Huntsville, AL 35801, USA",34.7251705,-86.5825735
"Escape room ""World of Illusions"" by Maze Rooms in Los Angeles",https://worldofescapes.com/los-angeles/quests/maze-rooms-world-of-illusions,"1328 N Highland Ave, Los Angeles, CA 90028","Welcome to the world of illusions! Learn the Great Wizard's secrets and cast your spells, it is the only way to find your way out of this topsy-turvy world of magic and mystery!",2-8,60,Difficult,Not scary,,None,2,8,60 minutes,nan,2,0,"1328 N Highland Ave, Los Angeles, CA 90028, USA",34.0951648,-118.3381817
"Escape room ""Gold Rush"" by The Escape Game Jacksonville in Jacksonville",https://worldofescapes.com/jacksonville/quests/the-escape-game-jacksonville-gold-rush,"4720 Town Crossing Drive, Suite 107 Jacksonville, FL 32246","For nearly two centuries, the hope of gold has lured people to the hills of Northern California. No one was captivated more than Clyde Hamilton, a greedy gold prospector who loved to gamble. Clyde made too many bets with the wrong crowd and now he’s missing. You’ve been tipped off to where he stashed his gold... but so has the mob. Find it first!


",2-8,60,Difficult,Not scary,14+,None,2,8,60 minutes,14,2,0,"4720 Town Crossing Dr #107, Jacksonville, FL 32246, USA",30.257354,-81.52748129999999
"Escape room ""Z-Cape Z-51"" by Escape Room Napa in Rohnert Park",https://worldofescapes.com/rohnert-park/quests/escape-room-napa-x-cape-z51,"1345 W Imola Ave Napa, CA 94559","A group of terrorist scientists have infiltrated a CDC secret labratory and created a VIRUS.  By accident the lead scientist became infected with the virus before he was able to finish the cure. To make matters worse he set a bomb to disperse the virus and decimate the surrounding civilian population. The infected are wreaking havok on the lab, can your team complete the research, cure the scientist, and disarm the bomb in time?
",4-8,60,Difficult,A little scary,14+,None,4,8,60 minutes,14,2,1,"1345 W Imola Ave, Napa, CA 94559, USA",38.2808167,-122.2898114
