room_title,woe_room_url,tag_id,tag
"Escape room ""The Inheritance"" by Escape Zone in Phoenix",https://worldofescapes.com/phoenix/quests/escape-zone-the-inheritance,0,Public Ticketing
"Escape room ""The Inheritance"" by Escape Zone in Phoenix",https://worldofescapes.com/phoenix/quests/escape-zone-the-inheritance,1,Up to eight players
"Escape room ""Wicked Witch's Castle"" by Eludesions Escape Rooms in Phoenix",https://worldofescapes.com/phoenix/quests/eludesions-escape-rooms-case-the-wicked-witchs-castle,0,Mystical
"Escape room ""Wicked Witch's Castle"" by Eludesions Escape Rooms in Phoenix",https://worldofescapes.com/phoenix/quests/eludesions-escape-rooms-case-the-wicked-witchs-castle,1,Public Ticketing
"Escape room ""Wicked Witch's Castle"" by Eludesions Escape Rooms in Phoenix",https://worldofescapes.com/phoenix/quests/eludesions-escape-rooms-case-the-wicked-witchs-castle,2,Up to ten players
"Escape room ""The Cabin"" by Auburn Escape Zones in Auburn",https://worldofescapes.com/auburn/quests/auburn-escape-zones-the-cabin,0,Public Ticketing
"Escape room ""The Cabin"" by Auburn Escape Zones in Auburn",https://worldofescapes.com/auburn/quests/auburn-escape-zones-the-cabin,1,Up to eight players
"Escape room ""Island Escape"" by Breakout Games - Mobile in Mobile",https://worldofescapes.com/mobile/quests/breakout-mobile-island-escape,0,Adventure
"Escape room ""Island Escape"" by Breakout Games - Mobile in Mobile",https://worldofescapes.com/mobile/quests/breakout-mobile-island-escape,1,Immersive
"Escape room ""Island Escape"" by Breakout Games - Mobile in Mobile",https://worldofescapes.com/mobile/quests/breakout-mobile-island-escape,2,Private Ticketing
"Escape room ""Island Escape"" by Breakout Games - Mobile in Mobile",https://worldofescapes.com/mobile/quests/breakout-mobile-island-escape,3,Up to eight players
"Escape room ""Budapest Express"" by Escapology Montgomery in Montgomery",https://worldofescapes.com/montgomery/quests/escapology-montgomery-budapest-express,0,Private Ticketing
"Escape room ""Budapest Express"" by Escapology Montgomery in Montgomery",https://worldofescapes.com/montgomery/quests/escapology-montgomery-budapest-express,1,Up to six players
"Escape room ""Kate's Motel"" by ESCAPE:chandler in Phoenix",https://worldofescapes.com/phoenix/quests/escape-chandler-kates-motel,0,Detective
"Escape room ""Kate's Motel"" by ESCAPE:chandler in Phoenix",https://worldofescapes.com/phoenix/quests/escape-chandler-kates-motel,1,Challenging
