room_title,woe_room_url,review_id,review
"Escape room ""Bank Heist"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-bank-heist,0,"We joined the mob!!   We had over 400k as well, we loved the game and the employees were great!"
"Escape room ""Bank Heist"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-bank-heist,1,"This is honestly the best room around! From the adrineline pumping music to the mob boss, it doesn’t get much better than this. Who wouldn’t want to work for the Don and rob a bank with no consequences? I highly recommend this room to anyone. "
"Escape room ""Bank Heist"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-bank-heist,2,"We joined the mob!   You know we broke the bank, crazy Cajuns in the House "
"Escape room ""Bank Heist"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-bank-heist,3,Breakin’ The Code is such an awesome place for family fun. I definitely recommend Bank Heist it’s such a fun room with heart pounding music and what is more fun than robbing a bank and not being arrested for it? Nothing!
"Escape room ""Bank Heist"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-bank-heist,4,Great room. Super energetic music. Fun for the whole family.
"Escape room ""Bank Heist"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-bank-heist,5,From the time the alarm went off til we got out it was a total thrill.  Good job guys :)
"Escape room ""Bank Heist"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-bank-heist,6,Well worth the price we had a great time!  I highly recommend to everyone
"Escape room ""Bank Heist"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-bank-heist,7,"Had a really good time here with friends,  we were so close to getting out.  We will be back it was fun! Everyone should try this"
"Escape room ""Bank Heist"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-bank-heist,8,"Second game I played here at Breaking the code, we had so much fun.  As a escape room enthusiast this game was excellent "
"Escape room ""Bank Heist"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-bank-heist,9,Great room!  Best by far in Houma!
"Escape room ""Bank Heist"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-bank-heist,10,Had a great time robbing the bank for the mob boss. Great group of workers too!
"Escape room ""Bank Heist"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-bank-heist,11,"We had a Yearbook Club field trip today, my group had a blast in Bank Heist and moved on to try frequency. Bank Heist was our favorite of the 2. Although we didnt escape either room, the teenagers and adults enjoyed it and look forward to trying out more rooms."
"Escape room ""Bank Heist"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-bank-heist,12,So much fun! We will be back soon! The Bank Heist was challenging but so much fun! Going back real soon!
"Escape room ""Bank Heist"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-bank-heist,13,We did Bank Heist for our work Christmas party and it was so much fun! I can't wait to go back!
"Escape room ""Bank Heist"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-bank-heist,14,"Bank Heist was awesome! We'll definitely be back. The clues were just enough to intrigue but not give it all away too easily. Great experience, thank you!"
