room_title,woe_room_url,review_id,review
"Escape room ""The Chamber"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-the-chamber,0,First time I played at breaking the code and we enjoyed it so much we played 3 more games that day.  We couldn't get enough.
"Escape room ""The Chamber"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-the-chamber,1,Very difficult room but we loved every minute of it!  One of the most immersive rooms we have ever played
"Escape room ""The Chamber"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-the-chamber,2,"Survived The kidnapper in Kidnapped but now off to his torture chamber! This room was challenging, but incredibly fun!"
"Escape room ""The Chamber"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-the-chamber,3,Survived being kidnapped the first time but kidnapper was definitely tricky with his set up in the chamber
"Escape room ""The Chamber"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-the-chamber,4,My family and I have played every room some multiple times and we can't get enough of BTC!   Please bring some new rooms soon!
"Escape room ""The Chamber"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-the-chamber,5,"This was the secone game the kids played as part of their birthday,  they had a great time!"
"Escape room ""The Chamber"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-the-chamber,6,Breaking the code and taking names.   Great value and a great time
"Escape room ""The Chamber"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-the-chamber,7,"Very good room, if you are looking for a challenge this room is the best to try.   I will be back to attempt it again "
"Escape room ""The Chamber"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-the-chamber,8,Took the family back to Breakin the Code and as always we had a great time! Their puzzles are all original ideas unlike some places and the staff is great!  We will be back again.
"Escape room ""The Chamber"" by Breakin’ The Code in Houma",https://worldofescapes.com/houma/quests/breakin-the-code-the-chamber,9,"Our float, Kajun Kerizma came attempt the Chamber last night. We had a blast. We haven't conquered the mission yet, which means we WILL be back. The staff was professional and we can't wait for next time."
