room_title,woe_room_url,review_id,review
"Escape room ""The Wizard's Final Exam"" by Escape This Boise in Boise",https://worldofescapes.com/boise/quests/escape-this-live-boise-the-wizards-final-exam,0,Logan did fantastic. My family came here for my brother’s 40th birthday party. We solved the wizard puzzle with just a couple minutes to spare and we had so much fun. Great escape room.
"Escape room ""The Wizard's Final Exam"" by Escape This Boise in Boise",https://worldofescapes.com/boise/quests/escape-this-live-boise-the-wizards-final-exam,1,This place is the BEST escape experience in the treasure valley. Rooms are amazing and the puzzles are fun yet challenging. The amazing staff also made this a five star business!!! Can't wait to come back!! Did 2/3 rooms in one day haha
"Escape room ""The Wizard's Final Exam"" by Escape This Boise in Boise",https://worldofescapes.com/boise/quests/escape-this-live-boise-the-wizards-final-exam,2,"We had a party of 13 so we split into two groups girls in the saloon and guys in the pirate room. This was the first time any of us had done this and it was so much fun! Way more difficult than any of us expected, but such clever puzzles. The staff was amazing! When I pulled up it was in a town house type business complex but don't let that put you off --there is a big adventure waiting for you inside!"
"Escape room ""The Wizard's Final Exam"" by Escape This Boise in Boise",https://worldofescapes.com/boise/quests/escape-this-live-boise-the-wizards-final-exam,3,Kids loved it! So much fun for the family! Next visit we will definitely do this again!
"Escape room ""The Wizard's Final Exam"" by Escape This Boise in Boise",https://worldofescapes.com/boise/quests/escape-this-live-boise-the-wizards-final-exam,4,"Excellent. Rooms are high quality, the staff is pleasant and helpful, and the puzzles are challenging yet intuitive. These are among the best escape rooms we've ever tried. We've run the pirate and wizard rooms (both great!) and look forward to running the wild west room soon!"
"Escape room ""The Wizard's Final Exam"" by Escape This Boise in Boise",https://worldofescapes.com/boise/quests/escape-this-live-boise-the-wizards-final-exam,5,We had family and friends in town for our wedding and most of them had not done an escape room before so we did the The Wizard's Final Exam. So much fun and we completed with 7:37 to spare! We'll be back to do the other rooms!!
"Escape room ""The Wizard's Final Exam"" by Escape This Boise in Boise",https://worldofescapes.com/boise/quests/escape-this-live-boise-the-wizards-final-exam,6,We had family and friends in town for our wedding and most of them had not done an escape room before so we did the The Wizard's Final Exam. So much fun and we completed with 7:37 to spare! We'll be back to do the other rooms!!
"Escape room ""The Wizard's Final Exam"" by Escape This Boise in Boise",https://worldofescapes.com/boise/quests/escape-this-live-boise-the-wizards-final-exam,7,I have done both their Ship and Wizard room and they were both awesome! The wizard was more challenging but the special effects and their ability to 'do magic' was great!
"Escape room ""The Wizard's Final Exam"" by Escape This Boise in Boise",https://worldofescapes.com/boise/quests/escape-this-live-boise-the-wizards-final-exam,8,We did The Wizard room which is new and had so much fun! There is no way we were in there for a full hour! Felt like only 5 minutes. The time just flew by because we were having such a blast! The atmosphere Clues and puzzles are so clever! Definitely recommend this to everyone!
"Escape room ""The Wizard's Final Exam"" by Escape This Boise in Boise",https://worldofescapes.com/boise/quests/escape-this-live-boise-the-wizards-final-exam,9,"Had a blast trying to figure out the clues to get out of the room! The theme and storyline was spectacular! We made it out, but not before time had taken us out. We did however, have an opportunity to finish the puzzles and find the key! (with a little help from our hosts!) Great team building and processing going on, as we all had a strength and some weaknesses! Would recommend everyone try it!"
