room_title,woe_room_url,tag_id,tag
"Escape room ""The Rec Room"" by Escape the Room Detroit in Detroit",https://worldofescapes.com/detroit/quests/escape-the-room-detroit-the-rec-room,0,Public Ticketing
"Escape room ""The Rec Room"" by Escape the Room Detroit in Detroit",https://worldofescapes.com/detroit/quests/escape-the-room-detroit-the-rec-room,1,Up to eight players
"Escape room ""The Play House"" by Escape Space Games in Portland",https://worldofescapes.com/portland/quests/escape-space-games-tualatin-the-play-house,0,Up to eight players
"Escape room ""The Chocolate Factory"" by Escape Now Houston in Houston",https://worldofescapes.com/houston/quests/escape-now-houston-the-chocolate-factory,0,Public Ticketing
"Escape room ""The Chocolate Factory"" by Escape Now Houston in Houston",https://worldofescapes.com/houston/quests/escape-now-houston-the-chocolate-factory,1,Up to ten players
"Escape room ""The Lab 51"" by Exit Game in Los Angeles",https://worldofescapes.com/los-angeles/quests/exit-game-mission2-the-lab,0,Beginners
"Escape room ""The Lab 51"" by Exit Game in Los Angeles",https://worldofescapes.com/los-angeles/quests/exit-game-mission2-the-lab,1,Futuristic
"Escape room ""The Lab 51"" by Exit Game in Los Angeles",https://worldofescapes.com/los-angeles/quests/exit-game-mission2-the-lab,2,Public Ticketing
"Escape room ""The Lab 51"" by Exit Game in Los Angeles",https://worldofescapes.com/los-angeles/quests/exit-game-mission2-the-lab,3,Up to ten players
"Escape room ""Ghost Ship"" by EscapeTime in Baltimore",https://worldofescapes.com/baltimore/quests/escapetime-ghost-ship,0,Public Ticketing
"Escape room ""Ghost Ship"" by EscapeTime in Baltimore",https://worldofescapes.com/baltimore/quests/escapetime-ghost-ship,1,Up to ten players
"Escape room ""Seeking Sasquatch"" by Puzzle Room Pittsburgh in Pittsburgh",https://worldofescapes.com/pittsburgh/quests/puzzle-room-pittsburgh-seeking-sasquatch,0,Up to eight players
"Escape room ""Bonus Fun Time Game Show Challenge"" by Escape Factor Chicago in Chicago",https://worldofescapes.com/chicago/quests/escape-factor-game-show-challenge,0,Public Ticketing
"Escape room ""Bonus Fun Time Game Show Challenge"" by Escape Factor Chicago in Chicago",https://worldofescapes.com/chicago/quests/escape-factor-game-show-challenge,1,Immersive
"Escape room ""Bonus Fun Time Game Show Challenge"" by Escape Factor Chicago in Chicago",https://worldofescapes.com/chicago/quests/escape-factor-game-show-challenge,2,Up to eight players
"Escape room ""The Locker Room - Pedro's Drug Problem"" by Escape House in Rexburg",https://worldofescapes.com/rexburg/quests/escape-house-rexburg-pedros-drug-problem,0,Public Ticketing
"Escape room ""The Locker Room - Pedro's Drug Problem"" by Escape House in Rexburg",https://worldofescapes.com/rexburg/quests/escape-house-rexburg-pedros-drug-problem,1,Up to ten players
"Escape room ""Human Xperiment"" by Xcape House in Tucson",https://worldofescapes.com/tucson/quests/xscape-house-human-xperiment,0,Scary
"Escape room ""Human Xperiment"" by Xcape House in Tucson",https://worldofescapes.com/tucson/quests/xscape-house-human-xperiment,1,Challenging
"Escape room ""Human Xperiment"" by Xcape House in Tucson",https://worldofescapes.com/tucson/quests/xscape-house-human-xperiment,2,Top Secret
"Escape room ""Human Xperiment"" by Xcape House in Tucson",https://worldofescapes.com/tucson/quests/xscape-house-human-xperiment,3,Up to ten players
